input_file,size,algorithm,status,time_ms,memory_mb,iterations,calls,backtracks,expansions,error_msg
input-4x4-01.txt,4x4,forward-chaining,SOLVED,143.9304999948945,0.00260162353515625,1,,,,
input-4x4-01.txt,4x4,backtracking,SOLVED,115.13000000559259,0.00147247314453125,,9,0,,
input-4x4-01.txt,4x4,brute-force,SOLVED,170.31419999693753,0.0011138916015625,,21,12,,
input-4x4-01.txt,4x4,astar,SOLVED,134.63000000047032,0.03009033203125,,,,10,
input-4x4-02.txt,4x4,forward-chaining,SOLVED,109.81290000199806,0.00286102294921875,2,,,,
input-4x4-02.txt,4x4,backtracking,SOLVED,107.53440000553383,0.00223541259765625,,13,0,,
input-4x4-02.txt,4x4,brute-force,SOLVED,106.33640000014566,0.0014801025390625,,34,21,,
input-4x4-02.txt,4x4,astar,SOLVED,107.563300000038,0.03414154052734375,,,,14,
input-5x5-03.txt,5x5,forward-chaining,SOLVED,110.68109999905573,0.004547119140625,2,,,,
input-5x5-03.txt,5x5,backtracking,SOLVED,108.91779999656137,0.00372314453125,,21,1,,
input-5x5-03.txt,5x5,brute-force,SOLVED,112.79970000032336,0.0022735595703125,,331,311,,
input-5x5-03.txt,5x5,astar,SOLVED,123.01619999925606,0.08695220947265625,,,,21,
input-5x5-04.txt,5x5,forward-chaining,SOLVED,114.48630000086268,0.004425048828125,2,,,,
input-5x5-04.txt,5x5,backtracking,SOLVED,117.14209999627201,0.00372314453125,,21,1,,
input-5x5-04.txt,5x5,brute-force,SOLVED,113.08149999968009,0.0022735595703125,,126,106,,
input-5x5-04.txt,5x5,astar,SOLVED,116.8139000001247,0.08901214599609375,,,,21,
input-6x6-05.txt,6x6,forward-chaining,UNSOLVED,107.48679999960586,0.00502777099609375,4,,,,
input-6x6-05.txt,6x6,backtracking,SOLVED,124.21609999728389,0.005859375,,203,173,,
input-6x6-05.txt,6x6,brute-force,SOLVED,110.25940000399714,0.003326416015625,,3437,3407,,
input-6x6-05.txt,6x6,astar,SOLVED,125.46829999337206,0.19034576416015625,,,,35,
input-6x6-06.txt,6x6,forward-chaining,UNSOLVED,115.84859999857144,0.0051422119140625,5,,,,
input-6x6-06.txt,6x6,backtracking,SOLVED,109.32830000092508,0.005950927734375,,97,67,,
input-6x6-06.txt,6x6,brute-force,SOLVED,124.36789999628672,0.003326416015625,,27794,27764,,
input-6x6-06.txt,6x6,astar,SOLVED,144.09349999914411,0.21279144287109375,,,,45,
input-7x7-07.txt,7x7,forward-chaining,UNSOLVED,108.1006999957026,0.0069732666015625,4,,,,
input-7x7-07.txt,7x7,backtracking,SOLVED,126.40190000092844,0.008209228515625,,154,112,,
input-7x7-07.txt,7x7,brute-force,SOLVED,503.35059999633813,0.00457763671875,,405008,404966,,
input-7x7-07.txt,7x7,astar,SOLVED,142.22789999621455,0.356414794921875,,,,50,
input-7x7-08.txt,7x7,forward-chaining,UNSOLVED,102.18950000125915,0.00684356689453125,3,,,,
input-7x7-08.txt,7x7,backtracking,SOLVED,170.33709999668645,0.008209228515625,,611,569,,
input-7x7-08.txt,7x7,brute-force,SOLVED,126.00380000367295,0.00457763671875,,15205,15163,,
input-7x7-08.txt,7x7,astar,SOLVED,150.86030000384199,0.326263427734375,,,,46,
input-9x9-09.txt,9x9,forward-chaining,UNSOLVED,113.00100000516977,0.01187896728515625,3,,,,
input-9x9-09.txt,9x9,backtracking,SOLVED,965.3523000015412,0.01434326171875,,5645,5573,,
input-9x9-09.txt,9x9,brute-force,SOLVED,4194.860600000538,0.0077362060546875,,2952529,2952457,,
input-9x9-09.txt,9x9,astar,SOLVED,317.13719999970635,1.1795501708984375,,,,102,
input-9x9-10.txt,9x9,forward-chaining,UNSOLVED,108.77139999502106,0.01194000244140625,3,,,,
input-9x9-10.txt,9x9,backtracking,SOLVED,127.28300000162562,0.01434326171875,,93,21,,
input-9x9-10.txt,9x9,brute-force,SOLVED,738.8645000028191,0.0077362060546875,,413887,413815,,
input-9x9-10.txt,9x9,astar,SOLVED,296.5593000044464,1.064666748046875,,,,84,
